"","language","duration","energy"
"1","C",1238,1
"2","Rust",1418.33333333333,1.12363369819501
"3","Java",1821.80952380952,1.20081928834892
"4","Lisp",3406.71428571429,1.57890025352157
"5","CSharp",3022.375,1.66433845156636
"6","Go",2954.25,1.97571767194644
"7","FSharp",4892.16666666667,2.18901209082646
"8","Fortran",7667.5,2.72368457369368
"9","JavaScript",10887.125,4.15410285937058
"10","Racket",11374,4.61961648117244
"11","TypeScript",26122.5,8.05659041191172
"12","Erlang",21139,12.72629199672
"13","PHP",34495.8333333333,19.5767404369131
"14","Lua",147602.708333333,44.1301708548749
"15","Python",76248.3333333333,47.5892529575176
"16","Perl",75394.7083333333,48.4013273276742
"17","JRuby",144595.125,114.511499371597
